soc_code,general_occupation,subtype,occupational_title,estimated_employment_2014,projected_employment_2024,percent_change_2014_2024,annual_average_percent_change,new_jobs,replace_ment_needs,total_jobs,median_hourly,median_annual,entry_level_education,work_experience,on_the_job_training
47_2044,Construction and Extraction Occupations,Construction Trades Workers,Tile and Marble Setters,12e3,15900,32.5,3.3,390,170,560,21.9,45555,No formal educational credential,No experience necessary,Long-term on-the-job-training
47_2051,Construction and Extraction Occupations,Construction Trades Workers,Cement Masons and Concrete Finishers,19200,26400,37.5,3.8,720,230,950,23.259999999999998,48370,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_2061,Construction and Extraction Occupations,Construction Trades Workers,Construction Laborers,114800,145e3,26.3,2.6,3020,2290,5310,18.459999999999997,38389,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_2071,Construction and Extraction Occupations,Construction Trades Workers,"Paving, Surfacing, and Tamping Equipment Operators",4800,5800,20.8,2.1,100,110,220,26.72,55576,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_2073,Construction and Extraction Occupations,Construction Trades Workers,Operating Engineers and Other Construction Equipment Operators,25800,29800,15.5,1.6,400,430,830,31.14,64775,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_2081,Construction and Extraction Occupations,Construction Trades Workers,Drywall and Ceiling Tile Installers,24900,33100,32.9,3.3,830,150,980,24.8,51592,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_2082,Construction and Extraction Occupations,Construction Trades Workers,Tapers,6e3,8100,35,3.5,210,40,250,25.759999999999998,53574,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_2111,Construction and Extraction Occupations,Construction Trades Workers,Electricians,58400,77400,32.5,3.3,1900,890,2790,30.650000000000002,63758,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2121,Construction and Extraction Occupations,Construction Trades Workers,Glaziers,5800,7700,32.8,3.3,190,80,280,26.19,54479,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2131,Construction and Extraction Occupations,Construction Trades Workers,"Insulation Workers, Floor, Ceiling, and Wall",1500,2100,40,4,50,50,100,21.17,44040,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_2132,Construction and Extraction Occupations,Construction Trades Workers,"Insulation Workers, Mechanical",1300,1900,46.2,4.6,60,40,100,23.27,48390,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2141,Construction and Extraction Occupations,Construction Trades Workers,"Painters, Construction and Maintenance",53200,70300,32.1,3.2,1720,850,2560,20.74,43146,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_2151,Construction and Extraction Occupations,Construction Trades Workers,Pipelayers,3500,3800,8.6,0.9,30,50,70,25.810000000000002,53676,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_2152,Construction and Extraction Occupations,Construction Trades Workers,"Plumbers, Pipefitters, and Steamfitters",40300,51900,28.8,2.9,1160,530,1690,26.650000000000002,55434,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2161,Construction and Extraction Occupations,Construction Trades Workers,Plasterers and Stucco Masons,9e3,11500,27.8,2.8,250,40,290,18.88,39273,No formal educational credential,No experience necessary,Long-term on-the-job-training
47_2171,Construction and Extraction Occupations,Construction Trades Workers,Reinforcing Iron and Rebar Workers,3800,6e3,57.9,5.8,220,60,280,25.459999999999997,52954,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2181,Construction and Extraction Occupations,Construction Trades Workers,Roofers,16400,24400,48.8,4.9,800,250,1050,24.37,50698,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_2211,Construction and Extraction Occupations,Construction Trades Workers,Sheet Metal Workers,13e3,16e3,23.1,2.3,310,280,590,27.459999999999997,57131,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2221,Construction and Extraction Occupations,Construction Trades Workers,Structural Iron and Steel Workers,5800,7400,27.6,2.8,160,100,250,32.21,66990,High school diploma or equivalent,No experience necessary,Apprenticeship
47_2231,Construction and Extraction Occupations,Construction Trades Workers,Solar Photovoltaic Installers,2900,4200,44.8,4.5,140,40,180,20.24,42099,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_3011,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",3100,4600,48.4,4.8,160,40,190,15.55,32352,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_3012,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Carpenters,2600,3500,34.6,3.5,80,30,110,15.83,32921,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_3013,Construction and Extraction Occupations,"Helpers, Construction Trades",Helpers--Electricians,4500,6200,37.8,3.8,170,60,220,16.19,33673,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
47_3014,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2e3,2700,35,3.5,80,20,100,13.94,29008,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_3015,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",3e3,3900,30,3,90,40,130,14.75,30675,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
47_3019,Construction and Extraction Occupations,"Helpers, Construction Trades","Helpers, Construction Trades, All Other",2300,2900,26.1,2.6,70,30,90,15.06,31325,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_4011,Construction and Extraction Occupations,Other Construction and Related Workers,Construction and Building Inspectors,10700,12e3,12.1,1.2,140,300,440,40.2,83609,High school diploma or equivalent,More than 5 years,Moderate-term on-the-job-training
47_4021,Construction and Extraction Occupations,Other Construction and Related Workers,Elevator Installers and Repairers,1600,2200,37.5,3.8,50,30,80,46.68,97106,High school diploma or equivalent,No experience necessary,Apprenticeship
47_4031,Construction and Extraction Occupations,Other Construction and Related Workers,Fence Erectors,3600,4500,25,2.5,80,70,150,17.38,36153,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_4041,Construction and Extraction Occupations,Other Construction and Related Workers,Hazardous Materials Removal Workers,4700,5600,19.1,1.9,90,110,190,18.95,39406,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_4051,Construction and Extraction Occupations,Other Construction and Related Workers,Highway Maintenance Workers,4600,5100,10.9,1.1,40,120,170,23.650000000000002,49183,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_4071,Construction and Extraction Occupations,Other Construction and Related Workers,Septic Tank Servicers and Sewer Pipe Cleaners,1500,1800,20,2,30,40,70,22.87,47567,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_4099,Construction and Extraction Occupations,Other Construction and Related Workers,"Construction and Related Workers, All Other",2600,3200,23.1,2.3,60,40,100,21.82,45392,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_5011,Construction and Extraction Occupations,Extraction Workers,"Derrick Operators, Oil and Gas",1200,1200,0,0,0,40,40,27.2,56572,No formal educational credential,No experience necessary,Short-term on-the-job-training
47_5013,Construction and Extraction Occupations,Extraction Workers,"Service Unit Operators, Oil, Gas, and Mining",2900,2800,-3.4,-0.3,0,100,100,26.89,55942,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
47_5021,Construction and Extraction Occupations,Extraction Workers,"Earth Drillers, Except Oil and Gas",1800,2e3,11.1,1.1,20,40,60,29.47,61289,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
47_5071,Construction and Extraction Occupations,Extraction Workers,"Roustabouts, Oil and Gas",4500,4400,-2.2,-0.2,0,90,90,18.23,37922,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
49_1011,"Installation, Maintenance, and Repair Occupations","Supervisors of Installation, Maintenance, and Repair Workers","First-Line Supervisors of Mechanics, Installers, and Repairers",38500,42800,11.2,1.1,430,770,1190,34.730000000000004,72250,High school diploma or equivalent,Less than 5 years,Apprenticeship
49_2011,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Computer, Automated Teller, and Office Machine Repairers",12800,13300,3.9,0.4,50,250,300,19.43,40413,"Some college, no degree",No experience necessary,Short-term on-the-job-training
49_2021,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Radio, Cellular, and Tower Equipment Installers and Repairers",1900,2200,15.8,1.6,30,20,50,27.54,57283,Associate's degree,No experience necessary,Moderate-term on-the-job-training
49_2022,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Telecommunications Equipment Installers and Repairers, Except Line Installers",29500,30500,3.4,0.3,90,270,360,29.07,60458,Postsecondary non-degree award,No experience necessary,Moderate-term on-the-job-training
49_2091,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Avionics Technicians,1900,2100,10.5,1.1,20,30,50,34.14,71027,Associate's degree,No experience necessary,Apprenticeship
49_2092,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electric Motor, Power Tool, and Related Repairers",1600,1700,6.3,0.6,10,40,60,25.14,52297,Postsecondary non-degree award,No experience necessary,Long-term on-the-job-training
49_2093,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Installers and Repairers, Transportation Equipment",2100,2300,9.5,1,20,40,60,32.6,67801,Postsecondary non-degree award,No experience necessary,Long-term on-the-job-training
49_2094,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Commercial and Industrial Equipment",6300,6800,7.9,0.8,40,110,150,28.64,59578,Postsecondary non-degree award,No experience necessary,Long-term on-the-job-training
49_2095,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",1900,2e3,5.3,0.5,20,30,50,41.01,85297,Postsecondary non-degree award,No experience necessary,Long-term on-the-job-training
49_2096,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Electronic Equipment Installers and Repairers, Motor Vehicles",2100,1300,-38.1,-3.8,0,40,40,14.1,29319,Postsecondary non-degree award,No experience necessary,Short-term on-the-job-training
49_2097,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Electronic Home Entertainment Equipment Installers and Repairers,2600,2700,3.8,0.4,10,40,50,19.49,40535,Postsecondary non-degree award,No experience necessary,Short-term on-the-job-training
49_2098,"Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Security and Fire Alarm Systems Installers,7400,9600,29.7,3,220,180,400,23.16,48170,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_3011,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Aircraft Mechanics and Service Technicians,13200,14900,12.9,1.3,170,310,490,31.14,64767,Postsecondary non-degree award,No experience necessary,Apprenticeship
49_3021,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Body and Related Repairers,13700,14900,8.8,0.9,120,320,440,19.58,40717,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3022,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Glass Installers and Repairers,1400,1500,7.1,0.7,10,20,30,17.85,37116,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_3023,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Automotive Service Technicians and Mechanics,69200,75100,8.5,0.9,580,1850,2440,19.77,41131,Postsecondary non-degree award,No experience necessary,Short-term on-the-job-training
49_3031,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Bus and Truck Mechanics and Diesel Engine Specialists,22100,26800,21.3,2.1,470,380,850,25.1,52206,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3041,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Farm Equipment Mechanics and Service Technicians,4e3,4500,12.5,1.3,50,90,140,18.67,38826,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3042,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Mobile Heavy Equipment Mechanics, Except Engines",10700,11700,9.3,0.9,100,250,350,27.74,57707,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3043,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Rail Car Repairers,1200,1400,16.7,1.7,20,30,50,27.310000000000002,56797,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3051,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Motorboat Mechanics and Service Technicians,1200,1300,8.3,0.8,10,20,30,18.5,38482,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3052,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Motorcycle Mechanics,1400,1600,14.3,1.4,20,30,40,20.4,42436,Postsecondary non-degree award,No experience necessary,Short-term on-the-job-training
49_3053,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Outdoor Power Equipment and Other Small Engine Mechanics,2300,2500,8.7,0.9,20,50,70,17.67,36752,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_3091,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Bicycle Repairers,2e3,2100,5,0.5,20,70,80,15.44,32120,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_3092,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Recreational Vehicle Service Technicians,1e3,1100,10,1,10,30,50,19.07,39675,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_3093,"Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Tire Repairers and Changers,10100,10800,6.9,0.7,80,340,420,12.52,26042,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
49_9011,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Mechanical Door Repairers,1500,2e3,33.3,3.3,50,60,110,19.85,41293,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_9012,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Control and Valve Installers and Repairers, Except Mechanical Door",3200,3500,9.4,0.9,30,130,160,33.75,70197,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_9021,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",22300,29400,31.8,3.2,710,340,1050,24.86,51700,Postsecondary non-degree award,No experience necessary,Long-term on-the-job-training
49_9031,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Home Appliance Repairers,4100,4e3,-2.4,-0.2,0,110,110,19.37,40282,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_9041,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Industrial Machinery Mechanics,24400,30600,25.4,2.5,620,630,1250,27.52,57242,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9043,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Maintenance Workers, Machinery",7800,9200,17.9,1.8,140,130,260,19.439999999999998,40434,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
49_9044,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Millwrights,2200,2900,31.8,3.2,70,40,110,27.74,57697,High school diploma or equivalent,No experience necessary,Apprenticeship
49_9051,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Electrical Power-Line Installers and Repairers,6800,8e3,17.6,1.8,120,270,390,50.8,105675,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9052,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Telecommunications Line Installers and Repairers,12500,13400,7.2,0.7,80,230,310,31.84,66223,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9062,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Medical Equipment Repairers,3900,4100,5.1,0.5,20,70,90,24.14,50213,Associate's degree,No experience necessary,Moderate-term on-the-job-training
49_9069,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Precision Instrument and Equipment Repairers, All Other",1600,1700,6.3,0.6,10,30,40,31.77,66061,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9071,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Maintenance and Repair Workers, General",120500,135500,12.4,1.2,1500,3160,4660,19.47,40484,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9091,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Coin, Vending, and Amusement Machine Servicers and Repairers",2900,2800,-3.4,-0.3,0,40,40,15.48,32211,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
49_9094,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Locksmiths and Safe Repairers,2900,2800,-3.4,-0.3,0,150,150,23.99,49890,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
49_9096,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations",Riggers,1e3,1200,20,2,10,30,40,25.64,53328,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
49_9098,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Helpers--Installation, Maintenance, and Repair Workers",13300,15200,14.3,1.4,190,430,620,13.93,28965,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
49_9099,"Installation, Maintenance, and Repair Occupations","Other Installation, Maintenance, and Repair Occupations","Installation, Maintenance, and Repair Workers, All Other",21e3,23500,11.9,1.2,250,320,570,17.97,37379,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_1011,Production Occupations,Supervisors of Production Workers,First-Line Supervisors of Production and Operating Workers,54400,57e3,4.8,0.5,260,860,1120,27.08,56315,High school diploma or equivalent,Less than 5 years,Apprenticeship
51_2011,Production Occupations,Assemblers and Fabricators,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",2900,3e3,3.4,0.3,10,60,70,22.59,46995,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2021,Production Occupations,Assemblers and Fabricators,"Coil Winders, Tapers, and Finishers",1200,1200,0,0,0,20,20,12.129999999999999,25223,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2022,Production Occupations,Assemblers and Fabricators,Electrical and Electronic Equipment Assemblers,29300,3e4,2.4,0.2,70,360,430,15.870000000000001,33021,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2023,Production Occupations,Assemblers and Fabricators,Electromechanical Equipment Assemblers,6200,6100,-1.6,-0.2,0,80,80,14.239999999999998,29612,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2031,Production Occupations,Assemblers and Fabricators,Engine and Other Machine Assemblers,1900,2100,10.5,1.1,20,40,60,21.09,43872,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2041,Production Occupations,Assemblers and Fabricators,Structural Metal Fabricators and Fitters,6700,7600,13.4,1.3,100,110,210,18.57,38615,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2091,Production Occupations,Assemblers and Fabricators,Fiberglass Laminators and Fabricators,1200,1300,8.3,0.8,10,30,30,14.56,30275,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2092,Production Occupations,Assemblers and Fabricators,Team Assemblers,80200,84500,5.4,0.5,430,1720,2150,13.139999999999999,27315,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_2099,Production Occupations,Assemblers and Fabricators,"Assemblers and Fabricators, All Other",21500,24100,12.1,1.2,260,460,720,13.450000000000001,27979,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_3011,Production Occupations,Food Processing Workers,Bakers,31300,36700,17.3,1.7,540,680,1230,12.51,26019,No formal educational credential,No experience necessary,Long-term on-the-job-training
51_3021,Production Occupations,Food Processing Workers,Butchers and Meat Cutters,20500,23300,13.7,1.4,280,410,690,13.16,27366,No formal educational credential,No experience necessary,Long-term on-the-job-training
51_3022,Production Occupations,Food Processing Workers,"Meat, Poultry, and Fish Cutters and Trimmers",8e3,8800,10,1,90,160,240,10.9,22671,No formal educational credential,No experience necessary,Short-term on-the-job-training
51_3023,Production Occupations,Food Processing Workers,Slaughterers and Meat Packers,5300,5600,5.7,0.6,40,100,140,11.76,24457,No formal educational credential,No experience necessary,Short-term on-the-job-training
51_3091,Production Occupations,Food Processing Workers,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",2600,2800,7.7,0.8,20,50,70,12.69,26397,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
51_3092,Production Occupations,Food Processing Workers,Food Batchmakers,14800,16e3,8.1,0.8,120,320,440,11.850000000000001,24641,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_3093,Production Occupations,Food Processing Workers,Food Cooking Machine Operators and Tenders,3600,4100,13.9,1.4,40,80,120,12.02,25008,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_3099,Production Occupations,Food Processing Workers,"Food Processing Workers, All Other",4200,4400,4.8,0.5,20,90,110,10.639999999999999,22130,No formal educational credential,No experience necessary,Moderate-term on-the-job-training
51_4011,Production Occupations,Metal Workers and Plastic Workers,"Computer-Controlled Machine Tool Operators, Metal and Plastic",10400,13100,26,2.6,270,320,590,18.27,38002,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4012,Production Occupations,Metal Workers and Plastic Workers,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",2500,3300,32,3.2,80,80,150,28.58,59459,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
51_4021,Production Occupations,Metal Workers and Plastic Workers,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",3900,3100,-20.5,-2.1,0,100,100,14.950000000000001,31102,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4022,Production Occupations,Metal Workers and Plastic Workers,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",1700,1500,-11.8,-1.2,0,40,40,17.37,36134,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4023,Production Occupations,Metal Workers and Plastic Workers,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2200,1900,-13.6,-1.4,0,50,50,14.84,30878,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4031,Production Occupations,Metal Workers and Plastic Workers,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",13e3,10900,-16.2,-1.6,0,160,160,14.719999999999999,30612,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4032,Production Occupations,Metal Workers and Plastic Workers,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1900,1600,-15.8,-1.6,0,30,30,14.709999999999999,30602,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4033,Production Occupations,Metal Workers and Plastic Workers,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",8e3,6900,-13.8,-1.4,0,340,340,14.57,30306,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4034,Production Occupations,Metal Workers and Plastic Workers,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5e3,4300,-14,-1.4,0,120,120,17.21,35787,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4035,Production Occupations,Metal Workers and Plastic Workers,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2900,2500,-13.8,-1.4,0,50,50,18.110000000000003,37666,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4041,Production Occupations,Metal Workers and Plastic Workers,Machinists,33800,40200,18.9,1.9,640,980,1620,19.55,40667,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
51_4072,Production Occupations,Metal Workers and Plastic Workers,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",8300,6500,-21.7,-2.2,0,120,120,13.51,28101,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4081,Production Occupations,Metal Workers and Plastic Workers,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",5500,5800,5.5,0.5,30,100,130,17.1,35563,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4111,Production Occupations,Metal Workers and Plastic Workers,Tool and Die Makers,3300,3100,-6.1,-0.6,0,20,20,26.110000000000003,54314,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
51_4121,Production Occupations,Metal Workers and Plastic Workers,"Welders, Cutters, Solderers, and Brazers",28400,31400,10.6,1.1,300,820,1110,18.99,39493,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4122,Production Occupations,Metal Workers and Plastic Workers,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",3200,2800,-12.5,-1.3,0,90,90,17.54,36471,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4191,Production Occupations,Metal Workers and Plastic Workers,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",1300,1100,-15.4,-1.5,0,20,20,17.479999999999997,36349,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4193,Production Occupations,Metal Workers and Plastic Workers,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",4100,3500,-14.6,-1.5,0,100,100,14.54,30235,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4194,Production Occupations,Metal Workers and Plastic Workers,"Tool Grinders, Filers, and Sharpeners",1200,1e3,-16.7,-1.7,0,30,30,15.68,32613,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_4199,Production Occupations,Metal Workers and Plastic Workers,"Metal Workers and Plastic Workers, All Other",3100,2900,-6.5,-0.6,0,50,50,14.91,31031,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_5111,Production Occupations,Printing Workers,Prepress Technicians and Workers,3800,2800,-26.3,-2.6,0,60,60,20.75,43167,Postsecondary non-degree award,No experience necessary,Apprenticeship
51_5112,Production Occupations,Printing Workers,Printing Press Operators,16100,14400,-10.6,-1.1,0,240,240,16.43,34175,High school diploma or equivalent,No experience necessary,Moderate-term on-the-job-training
51_5113,Production Occupations,Printing Workers,Print Binding and Finishing Workers,4600,4e3,-13,-1.3,0,70,70,14.31,29755,High school diploma or equivalent,No experience necessary,Short-term on-the-job-training
51_6011,Production Occupations,"Textile, Apparel, and Furnishings Workers",Laundry and Dry-Cleaning Workers,19e3,19500,2.6,0.3,40,270,320,11.6,24130,No formal educational credential,No experience necessary,Short-term on-the-job-training
51_6021,Production Occupations,"Textile, Apparel, and Furnishings Workers","Pressers, Textile, Garment, and Related Materials",6700,6200,-7.5,-0.7,0,160,160,10.83,22518,No formal educational credential,No experience necessary,Short-term on-the-job-training
